"PolicyNumber","FraudFound","Make","AccidentArea","Sex","MaritalStatus","AgeOfPolicyHolder","Fault","VehicleCategory","VehiclePrice","PoliceReportFiled","WitnessPresent","AddressChange.Claim","NumberOfCars"
2,0,"Honda","Urban","Male","Single","31 to 35","Policy Holder","Sport","more than 69,000","Yes","No","no change","1 vehicle"
7,0,"Honda","Urban","Male","Married","36 to 40","Third Party","Sport","more than 69,000","No","No","no change","1 vehicle"
12,0,"Honda","Urban","Male","Married","41 to 50","Policy Holder","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
17,0,"Ford","Urban","Male","Married","36 to 40","Policy Holder","Sedan","more than 69,000","No","No","no change","1 vehicle"
22,0,"Chevrolet","Urban","Male","Married","41 to 50","Policy Holder","Sedan","20,000 to 29,000","No","No","4 to 8 years","2 vehicles"
27,0,"Honda","Urban","Male","Married","26 to 30","Policy Holder","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
29,1,"Honda","Urban","Male","Single","16 to 17","Policy Holder","Sedan","more than 69,000","No","No","no change","1 vehicle"
32,0,"Honda","Urban","Male","Single","16 to 17","Policy Holder","Sedan","more than 69,000","No","No","no change","1 vehicle"
37,0,"Honda","Urban","Male","Married","31 to 35","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
42,0,"Pontiac","Urban","Male","Married","36 to 40","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","3 to 4"
47,0,"Pontiac","Urban","Male","Single","31 to 35","Third Party","Sedan","30,000 to 39,000","No","No","no change","1 vehicle"
52,0,"Pontiac","Urban","Male","Married","31 to 35","Policy Holder","Sport","20,000 to 29,000","No","No","2 to 3 years","1 vehicle"
53,1,"Honda","Rural","Male","Married","26 to 30","Policy Holder","Sport","more than 69,000","No","No","no change","1 vehicle"
54,1,"Honda","Urban","Male","Married","41 to 50","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
57,0,"Honda","Urban","Male","Single","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
62,0,"Pontiac","Urban","Male","Married","41 to 50","Policy Holder","Utility","40,000 to 59,000","No","No","no change","1 vehicle"
67,0,"Mercury","Urban","Male","Single","36 to 40","Third Party","Sedan","more than 69,000","No","No","no change","1 vehicle"
72,0,"Mazda","Urban","Male","Married","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
77,0,"Chevrolet","Urban","Male","Married","31 to 35","Third Party","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
82,0,"Mazda","Urban","Male","Single","36 to 40","Third Party","Sport","20,000 to 29,000","No","No","no change","1 vehicle"
87,0,"Toyota","Urban","Male","Single","31 to 35","Policy Holder","Sedan","20,000 to 29,000","No","No","no change","1 vehicle"
