"X";"COUNT";"MATH";"READ";"SCIE";"GLCM";"RCLI";"RCUN";"RCER";"RTSN";"RTML"
"179992";179992;"FRA";309,5953;288,984;298,1477; ;308,9349;251,5719;309,1987;257,0441;279,8403
"179993";179993;"FRA";360,6862;434,9926;415,8937; ;457,58;418,5374;410,1336;386,4993;416,8271
"179994";179994;"FRA";453,5479;412,5912;432,8017; ;436,5805;439,7077;438,4752;433,51;440,2152
"179995";179995;"FRA";559,4898;633,9166;612,3981; ;647,2681;631,8412;640,6178;631,0588;630,5249
"179996";179996;"FRA";544,5136;586,8591;571,0675; ;600,8357;590,8236;611,4404;604,5138;561,9608
"179997";179997;"FRA";560,1331;577,0338;557,4484; ;628,3089;569,5149;585,1818;599,892;582,9154
"179998";179998;"FRA";510,467;459,2317;475,6323; ;477,4968;484,3036;506,1013;450,3242;462,3379
"179999";179999;"FRA";582,8244;590,5336;593,0883; ;613,1169;609,2741;614,0556;624,8408;589,566
"180000";180000;"FRA";512,912;476,9628;507,5755; ;521,7222;482,6756;476,4112;466,7653;474,7152
"180001";180001;"FRA";300,2549;263,6757;280,2971; ;250,7493;252,1146;231,2833;243,1954;250,1434
"180002";180002;"FRA";463,0022;445,0501;463,1362; ;424,3719;429,5817;445,6011;438,5681;473,0039
"180003";180003;"FRA";552,1624;570,6988;574,9679; ;546,0593;558,7009;535,9319;562,1406;567,1012
"180004";180004;"FRA";478,7623;517,6558;534,8099; ;544,7179;537,5597;553,5008;516,9681;559,6794
"180005";180005;"FRA";517,25;495,4471;528,992; ;502,4447;504,6252;510,7558;519,1483;488,4073
"180006";180006;"FRA";386,9016;414,1191;380,5033; ;372,5623;375,1536;387,0872;376,6298;389,1406
"180007";180007;"FRA";477,5346;530,441;500,0385; ;586,3737;511,6855;507,7418;508,492;548,7527
"180008";180008;"FRA";533,2359;486,6503;510,9455; ;466,993;508,9888;537,665;473,3999;510,8459
"180009";180009;"FRA";531,9161;511,6147;492,3922; ;485,4214;503,1097;483,2859;485,3268;502,4039
"180010";180010;"FRA";572,3162;605,8598;575,5047; ;613,0383;607,3037;585,476;598,5358;591,3514
"180011";180011;"FRA";517,9206;668,5168;578,3663; ;609,2679;648,9201;635,1664;641,8452;672,7823
"180012";180012;"FRA";336,161;291,761;317,343; ;307,9996;290,1279;305,3686;259,2057;307,9737
"180013";180013;"FRA";569,3702;631,3833;650,3282; ;693,4974;657,779;627,7364;595,8424;634,1993
"180014";180014;"FRA";596,503;608,2827;612,5437; ;580,7409;647,7514;629,8732;577,19;632,9338
"180015";180015;"FRA";529,9189;398,9441;482,6553; ;413,507;398,4604;411,9447;371,0226;428,6383
"180016";180016;"FRA";434,3715;458,8696;463,1447; ;507,4116;436,4191;453,0904;456,2983;430,0886
"180017";180017;"FRA";404,8709;446,6487;454,9912; ;430,7112;461,5371;426,596;444,9963;453,3966
"180018";180018;"FRA";526,8744;532,0305;517,084; ;564,5968;524,7982;505,1663;551,2645;518,4166
"180019";180019;"FRA";520,145;562,8903;562,716; ;537,1316;562,9614;533,036;566,1497;595,4104
"180020";180020;"FRA";451,6728;547,7978;541,5874; ;517,3259;520,3634;505,1647;542,7893;530,2959
"180021";180021;"FRA";552,3127;535,3871;575,4034; ;527,8111;551,5415;542,5898;541,076;556,3726
"180022";180022;"FRA";407,0976;388,001;409,3132; ;387,4836;380,3932;359,6347;349,034;385,473
"180023";180023;"FRA";579,1321;594,7061;548,1829; ;590,8553;570,386;575,1518;579,2021;576,2229
"180024";180024;"FRA";459,0463;471,2356;465,5029; ;459,393;485,2469;460,197;493,3523;487,629
"180025";180025;"FRA";554,3783;568,443;615,682; ;562,3097;610,6036;574,6413;596,9596;575,1169
