"X";"COUNT";"MATH";"READ";"SCIE";"GLCM";"RCLI";"RCUN";"RCER";"RTSN";"RTML"
"582014";582014;"USA";426,9033;434,013;429,0652; ;444,8596;431,8222;405,5667;438,714;437,4392
"582015";582015;"USA";429,3502;367,7308;433,0981; ;310,923;362,1442;396,0327;379,292;394,0982
"582016";582016;"USA";537,606;590,4795;546,7487; ;574,8783;579,8463;603,4316;585,7267;582,662
"582017";582017;"USA";515,6485;593,7463;590,5876; ;571,625;593,3852;593,3672;574,7364;569,1757
"582018";582018;"USA";450,6739;507,6455;497,0419; ;526,519;503,3579;525,4668;486,6133;487,1537
"582019";582019;"USA";367,2067;459,8711;418,4558; ;476,0399;481,9424;460,1432;427,8558;483,9325
"582020";582020;"USA";630,7869;629,6425;664,1126; ;656,7742;638,9332;659,0661;644,3056;643,0411
"582021";582021;"USA";553,6763;658,794;604,505; ;650,8316;644,3952;658,1349;629,2859;650,9086
"582022";582022;"USA";536,937;640,3792;605,8399; ;622,0591;638,9506;613,806;614,4135;632,8341
"582023";582023;"USA";554,9785;616,1108;639,6298; ;645,8567;617,736;627,2177;614,2983;639,0803
"582024";582024;"USA";639,8668;729,0477;647,3036; ;694,0474;717,8368;736,8095;738,7544;734,4433
"582025";582025;"USA";384,2763;417,3757;399,4634; ;404,7128;410,2094;402,4681;428,9901;418,9071
"582026";582026;"USA";438,5232;424,7247;435,6761; ;445,3495;398,2265;410,5908;380,0115;435,0446
"582027";582027;"USA";515,4546;540,603;584,4405; ;517,5991;534,7808;532,8607;542,1885;502,9821
"582028";582028;"USA";480,4194;430,5181;469,1498; ;428,7393;430,8431;470,3084;423,0453;437,5322
"582029";582029;"USA";556,7988;643,6206;573,9623; ;587,0022;625,4958;636,5613;609,978;646,8782
"582030";582030;"USA";459,5272;497,5843;533,3099; ;506,6055;470,8989;462,6834;495,6227;491,5015
"582031";582031;"USA";633,7899;665,1089;676,1184; ;625,8388;656,8151;688,1704;650,0405;679,4171
"582032";582032;"USA";561,0789;607,6383;569,2857; ;629,7431;644,8772;604,8145;643,5421;602,1651
"582033";582033;"USA";447,4204;459,6335;440,4633; ;461,2981;464,4761;446,0873;464,829;462,6792
"582034";582034;"USA";533,8548;609,2326;657,0819; ;584,708;616,1426;608,1824;598,4029;616,4678
"582035";582035;"USA";477,8785;502,0316;498,7039; ;495,7341;498,7633;508,2387;518,9779;496,9363
"582036";582036;"USA";631,1241;631,6992;602,6156; ;628,4711;609,6312;641,969;611,7685;616,2116
"582037";582037;"USA";458,6389;471,7159;415,772; ;480,3147;475,5562;491,8798;489,6202;441,7923
"582038";582038;"USA";490,9537;579,8371;524,1834; ;524,123;565,0051;579,7815;534,3496;568,8088
"582039";582039;"USA";607,9824;569,4444;629,425; ;543,1352;555,5833;574,1232;553,6292;571,6851
"582040";582040;"USA";403,2588;318,1168;315,1765; ;289,8078;339,1427;336,7538;327,3391;296,3815
"582041";582041;"USA";447,9611;455,5409;432,2949; ;465,739;429,9684;454,0987;432,946;445,2846
"582042";582042;"USA";506,4395;495,7685;503,5618; ;513,9373;509,1579;539,2371;510,2926;495,8618
"582043";582043;"USA";476,0811;577,0328;496,6789; ;594,4941;569,0365;563,5402;560,6955;582,0438
"582044";582044;"USA";301,9981;265,4594;327,1419; ;323,0573;329,5034;366,721;293,4649;321,1632
"582045";582045;"USA";518,0338;607,7434;572,1086; ;564,8287;570,8795;559,0313;609,1112;603,4066
"582046";582046;"USA";588,9813;663,738;611,8035; ;627,4415;665,9713;678,3794;677,8889;666,1453
"582047";582047;"USA";587,3173;580,0863;605,7453; ;572,4098;566,3866;588,3583;576,6032;566,6564
"582048";582048;"USA";532,6789;511,2082;537,0945; ;521,3581;524,0559;559,9377;523,8515;514,2853
"582049";582049;"USA";458,4316;465,3273;474,8779; ;463,463;444,8507;469,9849;452,1881;474,0612
"582050";582050;"USA";414,801;425,2005;478,9397; ;438,7639;399,1206;485,9813;380,5942;433,0302
"582051";582051;"USA";346,9915;393,5449;389,7947; ;414,1419;384,4722;380,1984;362,1833;381,404
"582052";582052;"USA";527,1643;582,8253;561,3492; ;569,6816;570,3723;572,0308;568,1421;566,0961
"582053";582053;"USA";467,2987;508,1659;494,5237; ;473,2668;533,0998;487,6711;475,0016;481,5802
"582054";582054;"USA";613,1845;722,3576;660,2358; ;696,2738;704,3588;705,5644;716,845;736,6066
"582055";582055;"USA";323,5658;369,9473;350,0273; ;341,8744;371,628;377,2559;347,6366;367,5566
"582056";582056;"USA";364,3943;252,3962;326,9064; ;320,3682;309,1674;337,7641;319,6249;343,9389
"582057";582057;"USA";595,5587;644,7876;622,2007; ;661,2272;632,7265;629,6132;618,1873;618,8889
"582058";582058;"USA";407,7898;448,7388;391,4958; ;425,0349;426,5466;408,9524;435,3271;431,8562
"582059";582059;"USA";377,0444;447,485;454,0188; ;448,7144;425,9608;407,4917;412,2189;437,1755
"582060";582060;"USA";488,2394;472,5631;513,5094; ;453,8823;439,146;460,5355;484,9383;465,6902
"582061";582061;"USA";511,65;557,1003;544,9713; ;547,2897;565,8077;581,9204;559,7742;574,1913
"582062";582062;"USA";531,2951;588,102;561,3689; ;601,6539;611,3892;600,6964;612,3747;610,0892
"582063";582063;"USA";453,5967;453,9987;467,078; ;449,2031;457,745;422,59;480,7823;448,3865
"582064";582064;"USA";456,7219;457,2482;458,5715; ;490,9625;444,627;496,1191;455,9208;468,8408
"582065";582065;"USA";373,0235;328,3911;388,7061; ;333,2226;322,7015;325,3321;302,8917;324,3149
"582066";582066;"USA";466,0328;399,8281;446,8113; ;370,8425;397,1924;373,9594;361,2418;386,3011
"582067";582067;"USA";509,8423;591,6526;606,6529; ;566,1701;581,0261;595,7123;609,9283;594,2592
"582068";582068;"USA";595,6694;670,3363;693,6312; ;686,326;686,8382;665,5172;662,9113;676,5156
"582069";582069;"USA";480,7373;562,9046;505,8963; ;572,304;569,8085;609,8692;581,241;567,2493
"582070";582070;"USA";421,7749;474,3203;488,2423; ;483,9163;484,8422;496,3111;450,2327;468,4779
"582071";582071;"USA";415,0633;439,4265;424,6408; ;472,1633;440,7962;483,1011;455,8164;451,5615
"582072";582072;"USA";413,9851;475,1561;481,5619; ;472,7989;479,1412;493,2603;472,8909;477,8376
"582073";582073;"USA";476,6357;522,5484;469,2356; ;501,2186;512,1917;531,2645;501,7174;534,431
"582074";582074;"USA";453,0034;424,8489;432,2541; ;424,2589;438,9597;402,3024;409,3153;411,6165
"582075";582075;"USA";471,2529;490,4809;495,5077; ;488,7815;458,1931;506,0041;466,6723;496,1162
"582076";582076;"USA";394,0801;365,8919;437,3483; ;370,9901;371,3858;342,1849;401,4198;347,502
"582077";582077;"USA";653,7623;734,7348;695,8516; ;695,1252;706,1665;717,8496;718,6652;727,6925
"582078";582078;"USA";319,7191;272,7364;322,006; ;155,6194;214,2505;234,641;240,2415;230,0389
"582079";582079;"USA";545,3529;668,9975;593,5048; ;689,418;659,8719;653,5717;651,7741;647,8131
