"id","date_etablissement_dpe","consommation_energie","classe_consommation_energie","secteur_activite","annee_construction","surface_habitable","commune"
5123720,2021-08-21,0,"N","Commerce",1977,"0.00","CLAMART"
10576439,2021-01-05,250,"D","Bureau, Administration, Enseignement",1947,"24.20","PARIS"
10661802,2021-01-05,250,"D","Bureau, Administration, Enseignement",1947,"24.20","PARIS"
10667522,2021-01-08,0,"N","Bureau, Administration, Enseignement",1,"484.00","MONTPELLIER"
10669295,2021-01-01,216,"D","Bureau, Administration, Enseignement",1947,"22.57","CHAMBÉRY"
10669385,2021-01-01,116,"C","Autres (théâtres, salles de sport, restaurati",1947,"237.60","PLOUGUERNEAU"
10669591,2021-01-02,0,"N","Autres (théâtres, salles de sport, restaurati",1947,"90.42","BEAUMONT-SUR-VESLE"
10669600,2021-01-02,0,"N","Autres (théâtres, salles de sport, restaurati",1947,"51.83","BEAUMONT-SUR-VESLE"
10669687,2021-01-02,0,"N","Autres (théâtres, salles de sport, restaurati",1947,"25.47","PARIS 09"
10669693,2021-01-02,0,"N","Autres (théâtres, salles de sport, restaurati",1947,"52.92","ALES"
10669718,2021-01-02,348,"D","Bureau, Administration, Enseignement",1947,"83.99","PREVERANGES"
10669729,2021-01-02,111.99,"C","\N",1947,"110.00","NANTES"
10669820,2021-01-02,445,"E","Bureau, Administration, Enseignement",1,"266.20","BOULOGNE BILLANCOURT"
10669981,2021-01-03,0,"N","Autres (théâtres, salles de sport, restaurati",1947,"50.38","SOISSONS"
10670205,2021-01-03,0,"N","Bureau, Administration, Enseignement",1,"552.75","SEICHES SUR LE LOIR"
10670207,2021-01-03,274,"D","Bureau, Administration, Enseignement",1947,"86.46","PORT LOUIS"
10670212,2021-01-03,0,"N","Autres (théâtres, salles de sport, restaurati",1,"979.00","BREST"
10670256,2021-01-03,617,"G","Autres (théâtres, salles de sport, restaurati",1947,"73.81","BAVAY"
10670344,2021-01-03,190.79,"D","\N",1947,"106.70","SECLIN"
10670472,2021-01-03,760,"G","Autres (théâtres, salles de sport, restaurati",1947,"78.05","SAINT-JEAN-DU-GARD"
10670476,2021-01-03,0,"N","\N",1989,"54.59","MISEREY-SALINES"
10670490,2021-01-03,0,"N","Autres (théâtres, salles de sport, restaurati",1947,"129.47","HOMÉCOURT"
10670596,2021-01-03,0,"N","Bureau, Administration, Enseignement",1947,"158.40","NEUNG-SUR-BEUVRON"
10670604,2021-01-03,447,"E","Bureau, Administration, Enseignement",1800,"77.76","MEGEVE"
10670615,2021-01-03,482,"F","Autres (théâtres, salles de sport, restaurati",1,"66.96","MORZINE"
10670619,2021-01-03,152,"C","Bureau, Administration, Enseignement",1,"101.20","CROLLES"
10670783,2021-01-04,109,"C","Autres (théâtres, salles de sport, restaurati",1,"232.32","VEAUCHE"
10670785,2021-01-04,0,"N","Bureaux",1947,"0.00","NÉRONDES"
10670826,2021-01-02,126,"C","Autres (théâtres, salles de sport, restaurati",1,"33.07","GRENOBLE"
10670886,2021-01-04,51.53,"B","bureaux",2020,"\N","GUJAN-MESTRAS"
10670927,2021-01-04,163,"C","Autres (théâtres, salles de sport, restaurati",1947,"45.10","AUXERRE"
10670959,2021-01-04,0,"N","Commerce",1636,"0.00","SALIES-DE-BÉARN"
10671023,2021-01-04,270.52,"D","",1970,"0.00","LONS-LE-SAUNIER"
10671061,2021-01-04,92.24,"C","Bibliothèque",0,"725.00","VALENCE"
10671067,2021-01-04,143.45,"C","Association",1988,"553.81","BLANQUEFORT"
10671205,2021-01-04,389,"F","Centres Commerciaux",1,"2434.30","VILLENEUVE-D'ASCQ"
10671230,2021-01-04,236.5,"D","",1930,"0.00","ARMENTIÈRES"
10671387,2021-01-04,58.59,"B","cabinet médical",2020,"\N","VERTOU"
10671390,2021-01-04,0,"N","",1990,"0.00","VILLABÉ"
10671411,2021-01-04,320,"E","Autres (théâtres, salles de sport, restaurati",1947,"104.50","LA ROCHE SUR YON"
10671417,2021-01-04,0,"N","Autres (théâtres, salles de sport, restaurati",1947,"83.49","PARIS"
10671419,2021-01-04,320,"E","Autres (théâtres, salles de sport, restaurati",1947,"104.50","LA ROCHE SUR YON"
10671426,2021-01-04,320,"E","Autres (théâtres, salles de sport, restaurati",1947,"104.50","LA ROCHE SUR YON"
10671435,2021-01-04,0,"N","Autres (théâtres, salles de sport, restaurati",1947,"103.96","GEMENOS"
10671456,2021-01-03,0,"N","Autres (théâtres, salles de sport, restaurati",1947,"96.45","BÉVILLERS"
10671460,2021-01-04,44.15,"N"," Autre type de bâtiment",1980,"440.00","PARIS"
10671461,2021-01-04,34.79,"N"," Autre type de bâtiment",1980,"837.10","PARIS"
10671462,2021-01-04,59.92,"N"," Autre type de bâtiment",1980,"193.60","PARIS"
10671479,2021-01-04,0,"N","",1947,"0.00","PARIS - 8EME"
10671491,2021-01-04,0,"N","Bureaux",1947,"143.48","LESTREM"
10671548,2021-01-04,281.32,"D","\N",1947,"887.66","ALTHEN-DES-PALUDS"
10671553,2021-01-04,0,"N","Autres (théâtres, salles de sport, restaurati",1947,"61.60","DINAN"
