"id","estimation_ges","classe_estimation_ges"
5123720,0,"N"
10576439,8,"B"
10661802,8,"B"
10667522,0,"N"
10669295,21,"C"
10669385,3,"A"
10669591,0,"N"
10669600,0,"N"
10669687,0,"N"
10669693,0,"N"
10669718,11,"B"
10669729,19.77,"C"
10669820,14,"B"
10669981,0,"N"
10670205,0,"N"
10670207,8,"B"
10670212,0,"N"
10670256,20,"C"
10670344,44.64,"D"
10670472,24,"C"
10670476,0,"N"
10670490,0,"N"
10670596,0,"N"
10670604,14,"B"
10670615,15,"C"
10670619,4,"A"
10670783,3,"A"
10670785,0,"N"
10670826,4,"B"
10670886,1.87,"A"
10670927,38,"D"
10670959,0,"N"
10671023,63.3,"E"
10671061,14.45,"C"
10671067,17.66,"C"
10671205,12,"B"
10671230,36.81,"D"
10671387,3.09,"A"
10671390,0,"N"
10671411,10,"B"
10671417,0,"N"
10671419,10,"B"
10671426,10,"B"
10671435,0,"N"
10671456,0,"N"
10671460,1.44,"N"
10671461,1.13,"N"
10671462,1.95,"N"
10671479,0,"N"
10671491,0,"N"
10671548,25.16,"C"
10671553,0,"N"
10671561,2,"A"
10671659,3,"A"
10671674,14,"C"
10671681,0,"N"
10671708,8.7,"B"
10671726,0,"N"
10671767,20,"C"
10671797,5,"A"
10671802,0,"N"
10671822,0,"N"
10671844,20,"C"
10671902,0,"N"
10671932,12,"B"
10671949,0,"N"
10672018,14,"B"
10672054,6.98,"B"
10672065,0,"N"
10672100,8,"B"
10672170,0,"N"
10672173,53.21,"E"
10672177,0,"N"
10672182,0,"N"
10672197,36.54,"D"
10672236,0,"N"
10672238,30,"D"
10672265,0,"N"
10672336,0,"N"
10672338,13,"C"
10672351,0,"N"
10672356,0,"N"
10672379,0,"N"
10672380,0,"N"
10672453,0,"N"
10672469,0,"N"
10672477,11,"C"
10672478,6.27,"B"
10672504,35,"D"
10672512,10.57,"B"
10672541,3,"A"
10672558,0,"N"
10672583,0,"N"
10672595,0,"A"
10672605,0,"N"
10672750,10,"B"
10672866,0,"N"
10672879,2.86,"A"
10672883,28,"D"
10672916,0,"N"
10673111,0,"A"
10673112,0,"N"
10673129,0,"N"
10673142,0,"N"
10673164,35,"D"
10673176,5.67,"A"
10673195,0,"N"
10673251,13.76,"C"
10673278,8.39,"B"
10673312,3.35,"A"
10673332,0,"N"
10673346,20.07,"B"
10673360,32.06,"D"
10673373,3.05,"A"
10673379,0,"N"
10673398,0,"N"
10673400,0,"N"
10673406,17.44,"C"
10673407,0,"N"
10673416,0,"N"
10673456,20,"C"
10673492,0,"A"
10673501,0,"N"
10673506,0,"N"
10673512,0,"N"
10673601,23,"C"
10673631,0,"N"
10673634,0,"N"
10673644,0,"N"
10673685,8,"B"
10673709,4,"A"
10673721,0,"N"
10673761,49,"D"
10673766,0,"N"
10673796,0,"N"
10673807,5,"B"
10673821,0,"N"
10673841,0,"N"
10673857,0,"N"
10673905,0,"A"
10673907,0,"N"
10673919,0,"N"
10673925,25.4,"C"
10673950,0,"N"
10673986,0,"N"
10673987,0,"N"
10674014,24,"C"
10674023,0,"N"
10674036,0,"N"
10674084,0,"N"
10674101,0,"N"
10674183,8,"B"
10674190,0,"A"
10674251,27.87,"D"
10674252,6.64,"B"
10674253,5.6,"A"
10674254,11.54,"C"
10674289,0,"N"
10674294,24,"C"
10674337,0,"A"
10674368,0,"N"
10674385,0,"N"
10674389,7,"B"
10674394,0,"N"
10674453,45.49,"D"
10674464,0,"N"
10674485,22,"C"
10674505,4,"B"
10674571,0,"N"
10674641,0,"A"
10674662,34.57,"D"
10674666,0,"N"
10674687,23,"C"
10674692,0,"N"
10674699,0,"N"
10674754,5,"B"
10674767,27,"D"
10674908,5.52,"A"
10674954,0,"N"
10674957,0,"N"
10674964,0,"N"
10674978,11,"C"
10674979,14.21,"B"
10675018,9,"B"
10675150,0,"N"
10675180,13.75,"B"
10675226,0,"N"
10675283,0,"N"
10675287,5.8,"A"
10675325,0,"N"
10675328,0,"N"
10675360,3.53,"A"
10675401,0,"N"
10675416,11.7,"C"
10675428,0,"N"
10675476,0,"N"
10675479,26.64,"D"
10675542,3.53,"A"
10675594,0,"N"
10675623,39.58,"D"
10675786,0,"N"
10675806,15.21,"C"
